DELETE board;

INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목1', '본문1', '작성자아이디1', '작성자닉네임1' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목367', '본문367', '작성자아이디367', '작성자닉네임367' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목368', '본문368', '작성자아이디368', '작성자닉네임368' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목369', '본문369', '작성자아이디369', '작성자닉네임369' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목370', '본문370', '작성자아이디370', '작성자닉네임370' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목371', '본문371', '작성자아이디371', '작성자닉네임371' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목372', '본문372', '작성자아이디372', '작성자닉네임372' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목373', '본문373', '작성자아이디373', '작성자닉네임373' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목374', '본문374', '작성자아이디374', '작성자닉네임374' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목375', '본문375', '작성자아이디375', '작성자닉네임375' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목376', '본문376', '작성자아이디376', '작성자닉네임376' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목377', '본문377', '작성자아이디377', '작성자닉네임377' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목378', '본문378', '작성자아이디378', '작성자닉네임378' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목379', '본문379', '작성자아이디379', '작성자닉네임379' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목380', '본문380', '작성자아이디380', '작성자닉네임380' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목381', '본문381', '작성자아이디381', '작성자닉네임381' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목382', '본문382', '작성자아이디382', '작성자닉네임382' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목383', '본문383', '작성자아이디383', '작성자닉네임383' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목384', '본문384', '작성자아이디384', '작성자닉네임384' );
INSERT INTO board ( board_no, title, content, writer_id, writer_nick ) VALUES ( board_seq.nextval, '제목385', '본문385', '작성자아이디385', '작성자닉네임385' );
commit;

SELECT * FROM board
ORDER BY board_no DESC;
